Family	Genome type	Host type
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Nairoviridae	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Peribunyaviridae	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phasmaviridae	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Phenuiviridae	RNA	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tospoviridae	ssRNA(+/-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Tulasviridae	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Ellioviricetes;Bunyavirales;Wupedeviridae	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Insthoviricetes	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Milneviricetes	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Monjiviricetes	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Negarnaviricota;Yunchangviricetes	ssRNA(-)	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota	RNA	Unknown
Viruses;Riboviria;Orthornavirae;Pisuviricota;Hadakaviridae	ssRNA(+)	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Yadokarivirales;Yadokariviridae	ssRNA(+)	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Amalgaviridae	dsRNA	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Curvulaviridae	dsRNA	Eukaryote
